feature,mean_abs_shap
AgeCategory,0.9843722078949213
BMI,0.5299466848373413
SmokerStatus,0.32846980541944504
GeneralHealth,0.2970763295888901
HadAngina,0.27714936435222626
HadDiabetes,0.2338267434388399
PhysicalHealthDays,0.17683792114257812
DifficultyWalking,0.15938783157616854
SleepHours,0.15777407586574554
MentalHealthDays,0.15594352781772614
Sex,0.07509924657642841
PhysicalActivities,0.07474923320114613
HadStroke,0.0737930191680789
AlcoholDrinkers,0.027131057810038328
